vOTU	Organic Nitrogen	MISC	carbon utilization	carbon utilization (Woodcroft)	Energy	Transporters
vOTU03409	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03469	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03471	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03484	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU03493	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03497	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03509	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03514	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03527	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03533	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03546	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03552	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03611	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU03653	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03661	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03675	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
vOTU03697	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03699	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03720	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03777	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03844	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03872	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03890	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03895	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03921	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03928	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03935	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU03973	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04016	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04034	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04060	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04097	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04103	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04108	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04124	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04155	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU04171	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04186	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04260	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU04265	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04294	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU04308	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04326	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04348	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04356	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04360	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04386	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04445	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04451	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04464	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04479	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04495	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04498	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04533	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
